swap_number,battery_id,datetime,day_of_week,station_id,customer_id,charge_Remaining,provided_battery_id,provided_battery_charge,charging_destination,swap_success
1873,422,04/01/2023 11:29,Wednesday,16,670,32,891,71,residential area,1
1874,637,04/01/2023 11:33,Wednesday,5,57,32,942,68,residential area,1
1875,442,04/01/2023 11:33,Wednesday,17,27,30,630,65,residential area,1
1876,614,04/01/2023 11:38,Wednesday,20,76,25,341,63,same station,1
1877,95,04/01/2023 11:40,Wednesday,1,144,42,618,84,residential area,1
1878,168,04/01/2023 11:41,Wednesday,1,324,33,906,64,residential area,1
1879,628,04/01/2023 11:41,Wednesday,14,316,10,454,59,same station,1
1880,34,04/01/2023 11:45,Wednesday,20,77,3,854,89,same station,1
1881,737,04/01/2023 11:48,Wednesday,13,385,57,253,71,same station,1
1882,536,04/01/2023 11:50,Wednesday,18,19,18,27,62,solar farm,1
1883,386,04/01/2023 11:51,Wednesday,2,459,25,311,89,residential area,1
1884,671,04/01/2023 11:53,Wednesday,6,616,50,71,98,solar farm,1
1885,901,04/01/2023 11:54,Wednesday,9,182,13,919,88,solar farm,1
1886,35,04/01/2023 11:54,Wednesday,11,627,40,701,95,solar farm,1
1887,140,04/01/2023 11:56,Wednesday,18,36,58,358,76,residential area,1
1888,808,04/01/2023 11:57,Wednesday,6,62,16,437,98,residential area,1
1889,792,04/01/2023 11:58,Wednesday,15,13,35,173,91,same station,1
1890,882,04/01/2023 12:00,Wednesday,5,684,54,247,97,residential area,1
1891,357,04/01/2023 12:02,Wednesday,4,668,43,853,78,same station,1
1892,415,04/01/2023 12:02,Wednesday,20,307,18,722,69,solar farm,1
1893,70,04/01/2023 12:04,Wednesday,2,606,10,692,57,solar farm,1
1894,37,04/01/2023 12:05,Wednesday,12,348,4,65,59,same station,1
1895,231,04/01/2023 12:06,Wednesday,19,578,54,398,99,residential area,1
1896,733,04/01/2023 12:10,Wednesday,11,31,26,635,77,residential area,1
1897,192,04/01/2023 12:16,Wednesday,19,451,60,141,56,solar farm,0
1898,97,04/01/2023 12:18,Wednesday,17,302,10,787,93,solar farm,1
1899,732,04/01/2023 12:31,Wednesday,9,263,51,51,99,same station,1
1900,260,04/01/2023 12:31,Wednesday,1,641,18,382,73,solar farm,1
1901,204,04/01/2023 12:35,Wednesday,1,596,46,684,84,solar farm,1
1902,211,04/01/2023 12:36,Wednesday,17,310,12,823,58,residential area,1
1903,875,04/01/2023 12:36,Wednesday,17,320,35,476,90,same station,1
1904,973,04/01/2023 12:39,Wednesday,12,35,33,961,92,residential area,1
1905,742,04/01/2023 12:40,Wednesday,1,307,53,380,60,same station,1
1906,909,04/01/2023 12:42,Wednesday,2,101,32,468,83,residential area,1
1907,85,04/01/2023 12:42,Wednesday,15,609,44,284,83,solar farm,1
1908,309,04/01/2023 12:44,Wednesday,7,640,22,522,65,same station,1
1909,641,04/01/2023 12:45,Wednesday,5,570,30,629,85,solar farm,1
1910,413,04/01/2023 12:50,Wednesday,10,52,1,988,73,residential area,1
1911,215,04/01/2023 12:54,Wednesday,14,26,58,552,69,same station,1
1912,726,04/01/2023 12:56,Wednesday,8,326,26,409,95,solar farm,1
1913,214,04/01/2023 12:57,Wednesday,18,483,25,962,87,residential area,1
1914,770,04/01/2023 12:58,Wednesday,4,271,52,892,97,solar farm,1
1915,427,04/01/2023 12:59,Wednesday,5,587,19,760,73,residential area,1
1916,282,04/01/2023 12:59,Wednesday,18,403,29,163,86,solar farm,1
1917,999,04/01/2023 13:02,Wednesday,1,56,9,737,87,residential area,1
1918,283,04/01/2023 13:03,Wednesday,4,215,18,643,88,residential area,1
1919,59,04/01/2023 13:05,Wednesday,18,579,2,660,95,solar farm,1
1920,205,04/01/2023 13:06,Wednesday,7,23,11,924,60,same station,1
1921,623,04/01/2023 13:07,Wednesday,6,334,35,773,86,residential area,1
1922,241,04/01/2023 13:10,Wednesday,13,139,11,556,73,residential area,1
1923,984,04/01/2023 13:11,Wednesday,1,193,39,147,56,residential area,1
1924,611,04/01/2023 13:13,Wednesday,4,663,25,950,94,residential area,1
1925,307,04/01/2023 13:16,Wednesday,10,568,23,840,80,solar farm,1
1926,612,04/01/2023 13:18,Wednesday,7,49,47,812,70,solar farm,1
1927,512,04/01/2023 13:18,Wednesday,14,134,5,385,55,solar farm,1
1928,577,04/01/2023 13:21,Wednesday,8,112,10,995,84,solar farm,1
1929,36,04/01/2023 13:29,Wednesday,6,439,21,487,86,same station,1
1930,285,04/01/2023 13:31,Wednesday,14,126,52,641,96,same station,1
1931,472,04/01/2023 13:31,Wednesday,3,192,50,529,88,same station,1
1932,562,04/01/2023 13:36,Wednesday,10,466,23,120,84,solar farm,1
1933,766,04/01/2023 13:45,Wednesday,1,100,13,814,84,solar farm,1
1934,269,04/01/2023 13:47,Wednesday,4,78,51,535,98,solar farm,1
1935,998,04/01/2023 13:47,Wednesday,8,646,41,702,71,residential area,1
1936,734,04/01/2023 13:48,Wednesday,17,300,49,21,68,same station,1
1937,785,04/01/2023 13:50,Wednesday,1,332,16,880,66,residential area,1
1938,119,04/01/2023 13:53,Wednesday,12,178,19,238,75,solar farm,1
1939,912,04/01/2023 13:54,Wednesday,2,8,19,671,68,solar farm,1
1940,827,04/01/2023 14:04,Wednesday,17,249,30,31,60,residential area,1
1941,386,04/01/2023 14:05,Wednesday,9,267,13,346,82,residential area,1
1942,584,04/01/2023 14:09,Wednesday,4,490,52,923,90,residential area,1
1943,862,04/01/2023 14:16,Wednesday,2,592,45,827,78,residential area,1
1944,46,04/01/2023 14:19,Wednesday,8,205,58,276,64,residential area,1
1945,804,04/01/2023 14:19,Wednesday,10,184,1,310,79,solar farm,1
1946,629,04/01/2023 14:20,Wednesday,4,339,52,434,74,solar farm,1
1947,485,04/01/2023 14:20,Wednesday,5,342,36,1000,85,same station,1
1948,872,04/01/2023 14:24,Wednesday,11,175,37,674,93,same station,1
1949,922,04/01/2023 14:25,Wednesday,8,234,41,336,57,same station,1
1950,430,04/01/2023 14:27,Wednesday,20,600,46,869,63,solar farm,1
1951,522,04/01/2023 14:34,Wednesday,6,507,44,617,74,same station,1
1952,439,04/01/2023 14:36,Wednesday,6,325,22,831,71,solar farm,1
1953,897,04/01/2023 14:38,Wednesday,16,70,1,731,58,same station,1
1954,257,04/01/2023 14:40,Wednesday,19,593,44,983,79,same station,1
1955,871,04/01/2023 14:40,Wednesday,15,171,41,841,55,same station,1
1956,5,04/01/2023 14:45,Wednesday,18,423,52,716,93,same station,1
1957,399,04/01/2023 14:45,Wednesday,1,614,20,354,79,residential area,1
1958,497,04/01/2023 14:47,Wednesday,10,675,5,916,60,residential area,1
1959,832,04/01/2023 14:47,Wednesday,3,236,35,106,62,residential area,1
1960,90,04/01/2023 14:50,Wednesday,2,64,58,255,82,same station,1
1961,844,04/01/2023 14:51,Wednesday,4,272,54,429,55,solar farm,1
1962,519,04/01/2023 14:58,Wednesday,13,204,52,393,83,same station,1
1963,979,04/01/2023 14:58,Wednesday,6,686,5,772,97,residential area,1
1964,511,04/01/2023 15:01,Wednesday,7,462,36,953,66,same station,1
1965,602,04/01/2023 15:05,Wednesday,16,447,49,954,92,solar farm,1
1966,321,04/01/2023 15:06,Wednesday,5,68,28,764,57,residential area,1
1967,390,04/01/2023 15:07,Wednesday,5,337,31,177,65,residential area,1
1968,110,04/01/2023 15:08,Wednesday,15,608,50,436,91,solar farm,1
1969,948,04/01/2023 15:09,Wednesday,19,22,34,28,78,same station,1
1970,213,04/01/2023 15:17,Wednesday,17,124,41,909,95,solar farm,1
1971,336,04/01/2023 15:17,Wednesday,17,577,42,748,94,same station,1
1972,610,04/01/2023 15:19,Wednesday,6,91,12,506,96,same station,1
1973,227,04/01/2023 15:19,Wednesday,2,332,9,246,70,same station,1
1974,26,04/01/2023 15:19,Wednesday,1,581,54,537,70,same station,1
1975,604,04/01/2023 15:22,Wednesday,16,330,17,371,60,solar farm,1
1976,122,04/01/2023 15:23,Wednesday,7,141,52,118,68,residential area,1
1977,434,04/01/2023 15:23,Wednesday,2,449,44,664,56,residential area,1
1978,992,04/01/2023 15:24,Wednesday,17,501,51,504,86,same station,1
1979,564,04/01/2023 15:26,Wednesday,4,240,51,352,67,solar farm,1
1980,471,04/01/2023 15:26,Wednesday,11,6,35,861,69,solar farm,1
1981,450,04/01/2023 15:30,Wednesday,6,304,31,806,72,same station,1
1982,168,04/01/2023 15:30,Wednesday,8,44,3,400,67,same station,1
1983,739,04/01/2023 15:33,Wednesday,11,96,1,483,97,same station,1
1984,82,04/01/2023 15:35,Wednesday,13,586,8,301,63,residential area,1
1985,972,04/01/2023 15:40,Wednesday,19,309,44,534,70,same station,1
1986,422,04/01/2023 15:40,Wednesday,20,301,23,620,86,solar farm,1
1987,462,04/01/2023 15:41,Wednesday,3,314,10,354,56,residential area,1
1988,691,04/01/2023 15:41,Wednesday,18,233,45,639,59,same station,1
1989,869,04/01/2023 15:49,Wednesday,6,448,13,757,66,residential area,1
1990,570,04/01/2023 15:51,Wednesday,18,631,35,859,92,residential area,1
1991,988,04/01/2023 16:03,Wednesday,8,235,51,328,66,same station,1
1992,302,04/01/2023 16:05,Wednesday,19,543,31,494,75,residential area,1
1993,242,04/01/2023 16:06,Wednesday,8,299,32,468,83,same station,1
1994,192,04/01/2023 16:11,Wednesday,15,521,41,127,88,residential area,1
1995,350,04/01/2023 16:13,Wednesday,16,70,6,250,62,same station,1
1996,427,04/01/2023 16:16,Wednesday,9,584,15,906,63,same station,1
1997,739,04/01/2023 16:16,Wednesday,2,27,5,397,91,solar farm,1
1998,575,04/01/2023 16:16,Wednesday,9,286,59,138,81,same station,1
1999,9,04/01/2023 16:17,Wednesday,3,197,24,51,91,solar farm,1
2000,144,04/01/2023 16:18,Wednesday,6,309,30,999,88,residential area,1
2001,916,04/01/2023 16:19,Wednesday,12,604,2,17,99,solar farm,1
2002,209,04/01/2023 16:21,Wednesday,4,118,53,773,88,same station,1
2003,331,04/01/2023 16:22,Wednesday,12,264,15,809,88,same station,1
2004,262,04/01/2023 16:29,Wednesday,4,75,13,903,69,residential area,1
2005,171,04/01/2023 16:32,Wednesday,1,229,51,992,66,solar farm,1
2006,800,04/01/2023 16:33,Wednesday,19,32,2,170,68,solar farm,1
2007,658,04/01/2023 16:40,Wednesday,9,533,8,929,96,same station,1
2008,659,04/01/2023 16:41,Wednesday,19,361,50,562,94,same station,1
2009,856,04/01/2023 16:42,Wednesday,7,49,30,432,73,same station,1
2010,671,04/01/2023 16:42,Wednesday,19,406,6,161,62,same station,1
2011,921,04/01/2023 16:44,Wednesday,17,7,9,811,57,residential area,1
2012,749,04/01/2023 16:45,Wednesday,12,283,60,614,78,same station,1
2013,504,04/01/2023 16:47,Wednesday,5,5,56,961,55,residential area,0
2014,960,04/01/2023 16:48,Wednesday,5,123,19,816,59,residential area,1
2015,715,04/01/2023 16:49,Wednesday,12,434,31,945,90,residential area,1
2016,811,04/01/2023 16:50,Wednesday,19,155,5,15,97,same station,1
2017,432,04/01/2023 16:50,Wednesday,20,503,28,470,55,same station,1
2018,849,04/01/2023 16:52,Wednesday,19,242,20,345,71,residential area,1
2019,306,04/01/2023 16:54,Wednesday,9,336,18,417,91,residential area,1
2020,361,04/01/2023 16:55,Wednesday,12,600,11,265,86,solar farm,1
2021,666,04/01/2023 16:58,Wednesday,5,162,24,589,82,solar farm,1
2022,35,04/01/2023 17:00,Wednesday,4,474,28,90,83,solar farm,1
2023,485,04/01/2023 17:00,Wednesday,7,612,16,195,73,residential area,1
2024,386,04/01/2023 17:01,Wednesday,17,2,41,888,96,same station,1
2025,639,04/01/2023 17:02,Wednesday,2,93,34,580,59,residential area,1
2026,761,04/01/2023 17:05,Wednesday,14,486,58,393,61,residential area,1
2027,190,04/01/2023 17:05,Wednesday,18,463,42,485,90,solar farm,1
2028,38,04/01/2023 17:15,Wednesday,5,662,15,331,85,same station,1
2029,627,04/01/2023 17:17,Wednesday,20,403,13,682,63,residential area,1
2030,941,04/01/2023 17:20,Wednesday,11,613,8,997,88,residential area,1
2031,263,04/01/2023 17:21,Wednesday,7,546,54,621,77,residential area,1
2032,641,04/01/2023 17:22,Wednesday,20,685,19,815,88,residential area,1
2033,206,04/01/2023 17:23,Wednesday,12,127,3,986,65,solar farm,1
2034,837,04/01/2023 17:25,Wednesday,17,519,5,625,94,same station,1
2035,843,04/01/2023 17:27,Wednesday,18,364,4,456,83,residential area,1
2036,15,04/01/2023 17:32,Wednesday,17,264,18,783,76,solar farm,1
2037,978,04/01/2023 17:43,Wednesday,10,122,27,913,64,solar farm,1
2038,488,04/01/2023 17:48,Wednesday,19,665,37,338,62,same station,1
2039,249,04/01/2023 17:49,Wednesday,13,341,60,982,80,solar farm,1
2040,318,04/01/2023 17:50,Wednesday,10,19,27,907,82,residential area,1
2041,275,04/01/2023 17:51,Wednesday,16,665,39,265,63,residential area,1
2042,198,04/01/2023 17:53,Wednesday,20,466,19,3,88,residential area,1
2043,437,04/01/2023 17:54,Wednesday,19,389,7,22,77,same station,1
2044,444,04/01/2023 17:55,Wednesday,3,574,8,796,84,same station,1
2045,130,04/01/2023 17:59,Wednesday,17,221,10,432,65,residential area,1
2046,890,04/01/2023 18:00,Wednesday,13,394,46,945,90,residential area,1
2047,399,04/01/2023 18:02,Wednesday,12,59,46,578,73,residential area,1
2048,271,04/01/2023 18:04,Wednesday,19,475,28,839,96,solar farm,1
2049,48,04/01/2023 18:05,Wednesday,9,184,8,511,78,solar farm,1
2050,295,04/01/2023 18:05,Wednesday,18,17,17,970,92,residential area,1
2051,998,04/01/2023 18:05,Wednesday,14,648,4,141,71,residential area,1
2052,405,04/01/2023 18:06,Wednesday,14,273,19,72,95,same station,1
2053,884,04/01/2023 18:08,Wednesday,19,586,19,42,71,residential area,1
2054,887,04/01/2023 18:09,Wednesday,13,270,52,652,86,residential area,1
2055,325,04/01/2023 18:13,Wednesday,15,25,22,377,97,solar farm,1
2056,419,04/01/2023 18:13,Wednesday,16,136,15,871,80,same station,1
2057,752,04/01/2023 18:14,Wednesday,4,253,47,906,83,solar farm,1
2058,145,04/01/2023 18:15,Wednesday,20,451,46,504,68,residential area,1
2059,776,04/01/2023 18:16,Wednesday,1,585,37,168,80,solar farm,1
2060,973,04/01/2023 18:17,Wednesday,19,439,17,847,63,residential area,1
2061,683,04/01/2023 18:17,Wednesday,1,630,38,311,57,solar farm,1
2062,19,04/01/2023 18:19,Wednesday,11,483,12,456,79,solar farm,1
2063,372,04/01/2023 18:20,Wednesday,9,364,7,247,96,solar farm,1
2064,416,04/01/2023 18:26,Wednesday,4,119,55,989,91,residential area,1
2065,56,04/01/2023 18:28,Wednesday,10,325,41,900,68,residential area,1
2066,933,04/01/2023 18:42,Wednesday,15,218,7,681,91,same station,1
2067,708,04/01/2023 18:42,Wednesday,5,221,52,44,55,residential area,1
2068,146,04/01/2023 18:43,Wednesday,5,329,33,938,81,same station,1
2069,89,04/01/2023 18:48,Wednesday,17,66,10,354,56,residential area,1
2070,302,04/01/2023 18:55,Wednesday,12,242,26,504,59,same station,1
2071,898,04/01/2023 18:58,Wednesday,17,408,23,64,58,residential area,1
2072,371,04/01/2023 18:59,Wednesday,12,182,5,715,74,residential area,1
2073,373,04/01/2023 18:59,Wednesday,17,475,19,794,59,solar farm,1
2074,504,04/01/2023 19:04,Wednesday,3,672,42,540,97,solar farm,1
2075,123,04/01/2023 19:04,Wednesday,11,688,27,825,81,solar farm,1
2076,714,04/01/2023 19:10,Wednesday,3,477,38,263,66,same station,1
2077,65,04/01/2023 19:10,Wednesday,6,70,20,787,89,residential area,1
2078,355,04/01/2023 19:10,Wednesday,8,467,2,595,68,residential area,1
2079,787,04/01/2023 19:12,Wednesday,18,559,26,214,85,same station,1
2080,884,04/01/2023 19:12,Wednesday,19,381,57,811,72,same station,1
2081,381,04/01/2023 19:15,Wednesday,15,63,50,682,84,solar farm,1
2082,586,04/01/2023 19:15,Wednesday,9,185,26,380,86,same station,1
2083,75,04/01/2023 19:20,Wednesday,18,160,58,937,91,residential area,1
2084,341,04/01/2023 19:22,Wednesday,6,297,8,745,57,same station,1
2085,236,04/01/2023 19:34,Wednesday,18,374,34,143,71,same station,1
2086,512,04/01/2023 19:37,Wednesday,3,648,7,298,70,residential area,1
2087,123,04/01/2023 19:39,Wednesday,14,573,35,875,86,solar farm,1
2088,909,04/01/2023 19:40,Wednesday,13,175,47,424,56,same station,1
2089,87,04/01/2023 19:43,Wednesday,8,498,39,565,76,solar farm,1
2090,830,04/01/2023 19:43,Wednesday,19,553,19,443,67,same station,1
2091,8,04/01/2023 19:44,Wednesday,13,669,37,888,82,same station,1
2092,473,04/01/2023 19:45,Wednesday,18,87,19,429,59,same station,1
2093,692,04/01/2023 19:49,Wednesday,9,434,9,519,81,residential area,1
2094,130,04/01/2023 19:50,Wednesday,2,63,2,596,91,same station,1
2095,379,04/01/2023 19:54,Wednesday,11,39,60,431,79,solar farm,1
2096,776,04/01/2023 19:58,Wednesday,15,29,22,199,94,same station,1
2097,763,04/01/2023 20:04,Wednesday,8,411,20,1000,62,solar farm,1
2098,533,04/01/2023 20:08,Wednesday,14,438,29,437,72,solar farm,1
2099,620,04/01/2023 20:18,Wednesday,2,502,31,165,66,solar farm,1
2100,120,04/01/2023 20:18,Wednesday,19,305,4,110,61,solar farm,1
2101,219,04/01/2023 20:19,Wednesday,3,365,52,647,90,residential area,1
2102,493,04/01/2023 20:22,Wednesday,12,308,10,316,85,same station,1
2103,180,04/01/2023 20:28,Wednesday,12,71,8,918,90,same station,1
2104,369,04/01/2023 20:33,Wednesday,17,578,9,241,77,solar farm,1
2105,416,04/01/2023 20:34,Wednesday,18,238,37,687,73,same station,1
2106,859,04/01/2023 20:36,Wednesday,8,85,30,621,81,solar farm,1
2107,235,04/01/2023 20:38,Wednesday,8,30,21,585,75,residential area,1
2108,166,04/01/2023 20:41,Wednesday,13,87,13,709,68,same station,1
2109,268,04/01/2023 20:46,Wednesday,4,75,45,595,66,residential area,1
2110,251,04/01/2023 20:50,Wednesday,3,357,34,985,65,residential area,1
2111,1000,04/01/2023 20:51,Wednesday,11,563,14,205,88,same station,1
2112,423,04/01/2023 20:57,Wednesday,6,215,36,659,87,solar farm,1
2113,43,04/01/2023 21:01,Wednesday,16,610,19,500,85,same station,1
2114,433,04/01/2023 21:08,Wednesday,17,251,44,654,57,solar farm,1
2115,473,04/01/2023 21:16,Wednesday,2,263,27,261,92,same station,1
2116,170,04/01/2023 21:18,Wednesday,17,512,13,549,74,residential area,1
2117,672,04/01/2023 21:20,Wednesday,12,530,52,962,96,residential area,1
2118,16,04/01/2023 21:32,Wednesday,9,436,13,204,86,solar farm,1
2119,142,04/01/2023 21:32,Wednesday,5,419,35,870,58,residential area,1
2120,732,04/01/2023 21:37,Wednesday,3,321,39,592,86,residential area,1
2121,217,04/01/2023 21:38,Wednesday,1,93,44,597,99,residential area,1
2122,366,04/01/2023 21:38,Wednesday,7,687,25,579,87,same station,1
2123,595,04/01/2023 21:39,Wednesday,14,171,45,567,59,solar farm,1
2124,803,04/01/2023 21:39,Wednesday,20,325,25,558,67,same station,1
2125,665,04/01/2023 21:40,Wednesday,12,663,24,316,55,solar farm,1
2126,437,04/01/2023 21:40,Wednesday,2,80,40,260,69,solar farm,1
2127,329,04/01/2023 21:41,Wednesday,5,484,60,584,74,same station,1
2128,971,04/01/2023 21:52,Wednesday,12,558,50,543,82,same station,1
2129,565,04/01/2023 21:54,Wednesday,19,631,51,367,61,same station,1
2130,663,04/01/2023 21:56,Wednesday,8,292,59,177,80,same station,1
2131,907,04/01/2023 21:57,Wednesday,10,294,41,379,65,solar farm,1
2132,983,04/01/2023 22:02,Wednesday,19,569,49,524,99,same station,1
2133,575,04/01/2023 22:02,Wednesday,4,239,43,789,57,solar farm,1
2134,642,04/01/2023 22:06,Wednesday,8,459,1,769,55,residential area,1
2135,794,04/01/2023 22:07,Wednesday,6,603,33,276,75,solar farm,1
2136,666,04/01/2023 22:12,Wednesday,6,230,3,981,60,residential area,1
2137,604,04/01/2023 22:16,Wednesday,12,560,57,546,81,residential area,1
2138,987,04/01/2023 22:18,Wednesday,8,692,53,220,86,same station,1
2139,959,04/01/2023 22:20,Wednesday,13,609,42,862,55,residential area,1
2140,36,04/01/2023 22:22,Wednesday,17,201,1,385,96,residential area,1
2141,70,04/01/2023 22:23,Wednesday,8,255,5,377,56,same station,1
2142,554,04/01/2023 22:24,Wednesday,10,176,4,786,99,residential area,1
2143,168,04/01/2023 22:24,Wednesday,8,628,43,591,61,residential area,1
2144,750,04/01/2023 22:25,Wednesday,15,268,12,291,65,residential area,1
2145,608,04/01/2023 22:27,Wednesday,14,328,58,613,98,same station,1
2146,454,04/01/2023 22:30,Wednesday,4,81,16,973,70,solar farm,1
2147,929,04/01/2023 22:33,Wednesday,15,672,52,392,58,solar farm,1
2148,184,04/01/2023 22:33,Wednesday,13,139,23,644,72,residential area,1
2149,785,04/01/2023 22:35,Wednesday,7,271,51,679,64,solar farm,1
2150,488,04/01/2023 22:40,Wednesday,17,636,46,981,83,same station,1
2151,204,04/01/2023 22:44,Wednesday,16,533,34,250,59,solar farm,1
2152,678,04/01/2023 22:45,Wednesday,1,622,28,135,93,solar farm,1
2153,230,04/01/2023 22:52,Wednesday,11,421,37,442,73,same station,1
2154,308,04/01/2023 22:59,Wednesday,4,255,37,454,59,same station,1
2155,502,04/01/2023 22:59,Wednesday,11,139,51,279,83,same station,1
2156,674,04/01/2023 23:04,Wednesday,17,300,4,844,64,same station,1
2157,37,04/01/2023 23:07,Wednesday,13,237,1,19,81,same station,1
2158,99,04/01/2023 23:08,Wednesday,1,86,39,272,88,residential area,1
2159,568,04/01/2023 23:14,Wednesday,13,78,31,940,76,same station,1
2160,497,04/01/2023 23:15,Wednesday,11,474,26,733,73,same station,1
2161,985,04/01/2023 23:18,Wednesday,12,643,51,258,59,residential area,1
2162,233,04/01/2023 23:21,Wednesday,4,463,28,73,68,solar farm,1
2163,597,04/01/2023 23:22,Wednesday,19,676,47,420,60,solar farm,1
2164,967,04/01/2023 23:27,Wednesday,4,398,18,74,63,same station,1
2165,410,04/01/2023 23:31,Wednesday,12,384,15,551,83,residential area,1
2166,84,04/01/2023 23:35,Wednesday,16,698,54,589,67,same station,1
2167,437,04/01/2023 23:36,Wednesday,19,236,4,286,93,residential area,1
2168,263,04/01/2023 23:37,Wednesday,8,598,24,632,81,residential area,1
2169,599,04/01/2023 23:38,Wednesday,2,182,25,866,83,residential area,1
2170,64,04/01/2023 23:41,Wednesday,13,187,46,342,69,solar farm,1
2171,610,04/01/2023 23:42,Wednesday,3,477,47,235,85,residential area,1
2172,591,04/01/2023 23:42,Wednesday,16,500,37,587,92,same station,1
2173,355,04/01/2023 23:44,Wednesday,13,385,26,462,63,same station,1
2174,281,04/01/2023 23:47,Wednesday,20,270,6,677,61,same station,1
2175,794,04/01/2023 23:52,Wednesday,4,501,49,734,62,residential area,1
2176,797,04/01/2023 23:53,Wednesday,3,26,48,535,67,residential area,1
2177,279,04/01/2023 23:54,Wednesday,18,594,48,576,71,solar farm,1
2178,510,04/01/2023 23:57,Wednesday,12,374,53,75,69,same station,1
2179,45,05/01/2023 0:01,Thursday,17,28,49,891,87,residential area,1
2180,873,05/01/2023 0:03,Thursday,17,107,41,250,91,solar farm,1
2181,344,05/01/2023 0:05,Thursday,3,153,1,465,62,solar farm,1
2182,941,05/01/2023 0:11,Thursday,17,552,13,395,78,residential area,1
2183,346,05/01/2023 0:13,Thursday,19,452,11,696,75,solar farm,1
2184,788,05/01/2023 0:14,Thursday,8,312,6,7,67,same station,1
2185,92,05/01/2023 0:15,Thursday,18,476,1,651,91,solar farm,1
2186,405,05/01/2023 0:16,Thursday,6,627,42,902,67,solar farm,1
2187,344,05/01/2023 0:17,Thursday,19,257,44,988,56,solar farm,1
2188,935,05/01/2023 0:21,Thursday,9,102,7,494,97,residential area,1
2189,373,05/01/2023 0:24,Thursday,5,185,19,437,89,residential area,1
2190,813,05/01/2023 0:25,Thursday,8,699,41,969,67,residential area,1
2191,615,05/01/2023 0:25,Thursday,8,54,6,702,89,solar farm,1
2192,760,05/01/2023 0:26,Thursday,17,609,26,165,88,residential area,1
2193,813,05/01/2023 0:27,Thursday,18,303,15,735,90,residential area,1
2194,888,05/01/2023 0:35,Thursday,13,349,35,615,65,solar farm,1
2195,931,05/01/2023 0:35,Thursday,10,19,52,821,59,residential area,1
2196,162,05/01/2023 0:36,Thursday,18,491,10,462,77,same station,1
2197,307,05/01/2023 0:41,Thursday,15,356,40,377,68,same station,1
2198,433,05/01/2023 0:47,Thursday,20,161,55,867,71,residential area,1
2199,1000,05/01/2023 0:48,Thursday,13,608,48,610,82,same station,1
2200,428,05/01/2023 0:49,Thursday,15,537,10,3,67,same station,1
2201,107,05/01/2023 0:50,Thursday,14,242,35,725,89,same station,1
2202,209,05/01/2023 0:52,Thursday,8,263,15,35,99,residential area,1
2203,154,05/01/2023 0:56,Thursday,2,61,30,702,64,solar farm,1
2204,376,05/01/2023 0:58,Thursday,10,276,43,345,71,same station,1
2205,14,05/01/2023 0:59,Thursday,10,182,3,710,84,residential area,1
2206,404,05/01/2023 0:59,Thursday,11,241,24,482,58,same station,1
2207,76,05/01/2023 1:04,Thursday,1,538,60,521,99,solar farm,1
2208,952,05/01/2023 1:13,Thursday,9,222,47,182,95,residential area,1
2209,494,05/01/2023 1:14,Thursday,19,278,24,762,69,residential area,1
2210,272,05/01/2023 1:14,Thursday,13,683,27,532,76,residential area,1
2211,333,05/01/2023 1:15,Thursday,17,317,40,77,67,solar farm,1
2212,335,05/01/2023 1:19,Thursday,14,281,23,14,96,residential area,1
2213,1,05/01/2023 1:31,Thursday,7,518,48,344,92,same station,1
2214,68,05/01/2023 1:35,Thursday,17,500,39,452,59,solar farm,1
2215,902,05/01/2023 1:35,Thursday,11,379,11,721,90,residential area,1
2216,902,05/01/2023 1:38,Thursday,3,67,18,52,60,solar farm,1
2217,916,05/01/2023 1:40,Thursday,4,119,33,83,74,solar farm,1
2218,92,05/01/2023 1:42,Thursday,8,27,6,83,75,same station,1
2219,660,05/01/2023 1:46,Thursday,1,612,28,557,87,solar farm,1
2220,806,05/01/2023 1:51,Thursday,8,285,35,896,89,same station,1
2221,742,05/01/2023 1:55,Thursday,14,462,48,582,77,residential area,1
2222,97,05/01/2023 1:56,Thursday,14,650,9,817,84,residential area,1
2223,781,05/01/2023 2:02,Thursday,16,530,21,777,61,same station,1
2224,60,05/01/2023 2:02,Thursday,14,562,49,327,91,residential area,1
2225,814,05/01/2023 2:03,Thursday,19,517,12,629,69,same station,1
2226,577,05/01/2023 2:03,Thursday,11,557,20,357,81,solar farm,1
2227,594,05/01/2023 2:04,Thursday,11,143,5,982,99,residential area,1
2228,944,05/01/2023 2:04,Thursday,16,520,53,925,87,solar farm,1
2229,538,05/01/2023 2:05,Thursday,14,460,45,890,97,solar farm,1
2230,491,05/01/2023 2:07,Thursday,7,189,10,613,97,residential area,1
2231,716,05/01/2023 2:10,Thursday,7,608,9,732,80,same station,1
2232,603,05/01/2023 2:15,Thursday,9,667,17,378,81,residential area,1
2233,817,05/01/2023 2:16,Thursday,8,459,45,32,98,solar farm,1
2234,468,05/01/2023 2:17,Thursday,13,601,14,640,92,solar farm,1
2235,225,05/01/2023 2:21,Thursday,9,10,60,785,57,same station,0
2236,903,05/01/2023 2:22,Thursday,14,524,18,542,88,solar farm,1
2237,980,05/01/2023 2:22,Thursday,5,344,52,840,82,same station,1
2238,465,05/01/2023 2:23,Thursday,17,603,43,329,85,solar farm,1
2239,268,05/01/2023 2:23,Thursday,12,540,42,119,84,residential area,1
2240,88,05/01/2023 2:25,Thursday,8,208,17,818,91,same station,1
